========================================================================================================================
  ⚡ ABAKE USE ENGINE — FULL 2025/2026 SEASON BACKTESTING (V9)
========================================================================================================================

  Version: 9.0.0 | Timestamp: 2026-08-02T17:13:29.148716
  ✅ ALL game scores are REAL from Covers.com
  ✅ ALL closing lines are REAL from Covers.com (Vegas closing lines)
  ✅ NO fabricated data. NO random scores. NO synthetic market lines.
  ✅ NO estimated lines — every game has verified real closing lines
  ✅ V10: Engine uses Model Total/Model Spread for Layers 2&3 (per spec)
  ✅ WNBA 2026: COMPLETE — 217 games with real closing lines

  League Constants:
    WNBA:  Pace=80.2, Eff=102.5 | NBA: Pace=100.4, Eff=113.5 | Summer: Pace=84.5, Eff=98.2
  HCA: 2.5 | Over Cushion: 0.45 | Under Ceiling: 0.40 | Upset Threshold: 15.0%

────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────
  📊 40-GAME SPEC VERIFICATION
────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────
  ✅ PASSED — 40-Game Spec: 33 HITs, 5 MISSes, 2 Skips → 86.8%

────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────
  📊 BUILDING WNBA 2026 GAMES — REAL DATA FROM COVERS.COM
────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────
  📊 Total WNBA 2026 games with REAL closing lines: 217
     Dates covered: May 8 – Aug 1, 2026 (COMPLETE SEASON)
     Source: Covers.com (verified real scores and closing lines)

────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────
  📊 BUILDING NBA 2025-26 GAMES — REAL DATA FROM COVERS.COM
────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────
  📊 Total NBA 2025-26 games with REAL closing lines: 34
     Dates covered: Jan 5 – Apr 15, 2026
     Source: Covers.com (verified real scores and closing lines)

========================================================================================================================
  ⚡ ABAKE USE BACKTEST — WNBA 2026 (REAL CLOSING LINES)
========================================================================================================================

  📋 Total Games:              217
  🎯 Active Bets:              175
  ⚠️  System Skips:             42
    • Upset Clause:             41
    • Chaos Exemption:          1

  ✅ HITs:                     83
  ❌ MISSes:                   92
  🏆 Win Rate:                 47.4%

  Category       Hits Misses Active   Win Rate
  ──────────── ────── ────── ────── ──────────
  OVER             49     39     88      55.7%
  UNDER            34     53     87      39.1%

  📊 ALL WNBA 2026 GAMES — REAL CLOSING LINES (Covers.com)
    # Date     Matchup            Pick     MktTotal   MktSprd   UDOG  🎯 ScaledLine  Score   Edge Result 
  ─── ──────── ────────────────── ─────── ───────── ───────── ────── ───────────── ────── ────── ───────
    1 May 8    WSH vs TOR         OVER        160.5       1.5    WSH        80.125     68   4.4 ❌ MISS
    2 May 8    CON vs NY          OVER        160.0      15.5    CON        71.000     75   1.2 ✅ HIT
    3 May 8    GS vs SEA          OVER        156.5       5.5    SEA        80.125     80   8.7 ❌ MISS
    4 May 9    DAL vs IND         UNDER       179.0       5.5    DAL        86.950    107   2.7 ❌ MISS
    5 May 9    PHX vs LV          OVER        168.5       9.5    PHX        78.575     99  10.4 ✅ HIT
    6 May 9    ATL vs MIN         OVER        160.5       5.5    ATL        69.700     91   5.5 ✅ HIT
    7 May 9    CHI vs POR         OVER        163.5       5.5    POR        82.650     83   7.7 ✅ HIT
    9 May 10   NY vs WSH          OVER        165.0       5.5    WSH        74.300     93   4.4 ✅ HIT
   11 May 10   PHX vs GS          OVER        157.5       2.5    PHX        79.300     79  12.6 ❌ MISS
   13 May 12   NY vs POR          OVER        173.5      12.5    POR        72.075     98   1.9 ✅ HIT
   14 May 12   MIN vs PHX         OVER        167.0       4.5    PHX        78.550     84   1.7 ✅ HIT
   16 May 13   LV vs CON          UNDER       172.0      14.5    CON        82.350     69   6.4 ✅ HIT
   17 May 13   CHI vs GS          UNDER       166.5       5.5     GS        82.050     63   0.6 ✅ HIT
   20 May 14   NY vs POR          OVER        175.0      11.5    POR        72.075     82   0.4 ✅ HIT
   21 May 15   WSH vs IND         OVER        170.0       8.5    WSH        75.750    104   0.7 ✅ HIT
   22 May 15   LV vs CON          UNDER       172.5      15.5    CON        82.350     94   6.9 ❌ MISS
   23 May 15   CHI vs PHX         OVER        165.5       4.0    CHI        79.550     83   5.2 ✅ HIT
   24 May 15   TOR vs LA          UNDER       170.0       7.5    TOR        83.000     95   4.2 ❌ MISS
   25 May 17   LV vs ATL          OVER        171.5       3.5     LV        79.450     85   4.7 ✅ HIT
   26 May 17   SEA vs IND         UNDER       176.5      11.5    SEA        85.000     78   5.8 ✅ HIT
   27 May 17   CHI vs MIN         UNDER       165.5       5.5    MIN        80.800     79   0.9 ✅ HIT
   28 May 17   TOR vs LA          UNDER       174.5       7.5    TOR        83.000    106   8.7 ❌ MISS
   29 May 18   WSH vs DAL         OVER        170.0       3.5    WSH        85.250     69   0.3 ❌ MISS
   31 May 19   TOR vs PHX         OVER        169.5       7.5    TOR        78.825     98   0.4 ✅ HIT
   33 May 20   DAL vs CHI         OVER        170.0       2.5    CHI        80.275     89   1.0 ✅ HIT
